id,name,latitude,longitude,address,building_image,aed_image
1,AWS Pop-up Loft,40.7228185,-74.0037852,"30 Thompson St, New York, NY 10013, USA",,
2,Leslie-Lohman Museum of Gay and Lesbian Art,40.721669,-74.00309,"75 Grand St, New York, NY 10013, USA",https://lh3.googleusercontent.com/-w3tSTjRy9zg/VkOPbsFaIdI/AAAAAAAAACE/WnMzOPFVALgqBFT9vGgVqkk5wtdQCDSjA/s408-k-no/,https://www.towson.edu/ehs/images/aed-stephens-sq.jpg
3,Museum Of Chinese In America,40.7194694,-73.9991776,"215 Centre St, New York, NY 10013",,
4,NYU College of Global Public Health,40.7332403,-73.9928407,"41 E 11th St, New York, NY 10003",,
5,Italian American Museum,40.719217,-73.997498,"155 Mulberry St, New York, NY 10013",,
6,Vanderbilt Hall,40.7305445,-73.9994908,"40 Washington Square S, New York, NY 10012",,
7,32 Washington Square W,40.731868,-73.999252,"32 Washington Square W, New York, NY 10011",,
8,Brennan Center for Justice,40.7257183,-74.0043764,"161 Ave of the Americas #12, New York, NY 10013","https://geo0.ggpht.com/cbk?cb_client=maps_sv.tactile&authuser=0&hl=en&output=thumbnail&thumb=2&panoid=iiZC1bBXbSEuko9EWSllTQ&w=345&h=170&yaw=295&pitch=0&ll=40.7255872,-74.0040173",http://rms.unlv.edu/fire-and-life/aed/img/CSB%20Hallway%20by%20245.jpg
9,City-As-School,40.7291377,-74.0060445,"16 Clarkson St, New York, NY 10014",,
10,New York Law School,40.717982,-74.006988,"185 W Broadway, New York, NY 10013",,
11,Courant Institute of Mathematical Sciences Library,40.7286908,-73.9956597,"251 Mercer St, New York, NY 10012",,
12,New York Public Library Mulberry Street Branch,40.7241646,-73.995708,"10 Jersey St, New York, NY 10012",,
13,Performing Garage,40.7222945,-74.0029449,"33 Wooster St, New York, NY 10013",http://michaelminn.net/newyork/theatres/off_broadway_theatres/downtown/performing_garage/2007-03-16_14-00-37.jpg,https://www.towson.edu/ehs/images/aed-vanbokkelen-sq.jpg
14,Manhattan Youth,40.7163649,-74.0123498,"120 Warren St, New York, NY 10007",,
15,JCP Jewish Community Project,40.7162611,-74.0080413,"146 Duane St # A, New York, NY 10013",,
16,Charles B Wang Community Health Center Inc,40.718684,-74.001378,"268 Canal St # 1, New York, NY 10013",,
17,apicha community health center,40.7185939,-74.0022145,"400 Broadway, New York, NY 10013",,
18,The Elmer Holmes Bobst Library,40.7295147,-73.9971878,"70 Washington Square S, New York, NY 10012",,
19,Downtown Community Television Center,40.7173916,-74.001162,"87 Lafayette St, New York, NY 10013",,
20,Public Preparatory Network,40.7149093,-74.0060408,"291 Broadway #1202, New York, NY 10007",,
