time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-06-05T04:10:10.590Z,38.8291664,-122.7978363,1.04,2.83,md,46,38,0.01093,0.05,nc,nc72646021,2016-06-05T04:15:04.358Z,"6km W of Cobb, California",earthquake,0.14,0.22,0.19,38,automatic,nc,nc
2016-06-05T04:07:05.550Z,-15.9422,-74.1017,33.5,4.9,mb,,131,4.33,0.94,us,us2000624v,2016-06-05T04:26:27.401Z,"78km SE of Acari, Peru",earthquake,8.1,5.2,0.037,236,reviewed,us,us
2016-06-05T02:47:51.900Z,28.9056,128.1667,183.8,4.8,mb,,46,2.063,0.85,us,us2000624m,2016-06-05T03:04:47.783Z,"141km WNW of Naze, Japan",earthquake,8.2,6.1,0.037,225,reviewed,us,us
2016-06-05T02:41:26.590Z,-17.6657,-176.8887,320.91,4.4,mb,,56,6.757,0.84,us,us2000624l,2016-06-05T03:10:24.348Z,"Fiji region",earthquake,12.8,6.2,0.094,33,reviewed,us,us
2016-06-05T02:02:13.600Z,18.2371,-67.2001,106,2.9,Md,12,136.8,0.12396751,0.27,pr,pr16157001,2016-06-05T03:46:52.175Z,"5km SSW of La Playa, Puerto Rico",earthquake,2.1,1.1,0,7,reviewed,pr,pr
2016-06-05T01:55:29.700Z,36.9155,-98.0159,5,2.6,mb_lg,,75,0.059,0.74,us,us20006245,2016-06-05T02:07:09.470Z,"26km S of Anthony, Kansas",earthquake,0.9,1.7,0.076,45,reviewed,us,us
2016-06-05T01:54:21.610Z,16.0494,-98.2163,10,4.7,mb,,214,1.541,1.49,us,us20006249,2016-06-05T02:17:17.700Z,"36km SW of Santiago Pinotepa Nacional, Mexico",earthquake,10.8,1.7,0.046,141,reviewed,us,us
2016-06-05T01:53:57.950Z,-24.2844,-67.1024,195.41,4.6,mb,,87,1.653,1,us,us20006244,2016-06-05T02:03:44.696Z,"79km W of San Antonio de los Cobres, Argentina",earthquake,9.9,15.2,0.192,8,reviewed,us,us
2016-06-05T01:52:45.050Z,16.5383,-98.2432,10,4.4,mb,,164,1.064,1.21,us,us20006246,2016-06-05T02:26:50.104Z,"13km SW of San Juan Cacahuatepec, Mexico",earthquake,4.4,1.9,0.041,169,reviewed,us,us
2016-06-05T01:44:56.910Z,16.7034,-98.0964,10,4.2,mb,,216,0.965,0.91,us,us20006242,2016-06-05T01:59:01.874Z,"5km N of San Pedro Amuzgos, Mexico",earthquake,8.6,2,0.055,91,reviewed,us,us
2016-06-05T01:11:30.290Z,34.2034,26.1046,10,4.2,mb,,115,1.473,1.05,us,us2000623u,2016-06-05T01:37:31.209Z,"93km S of Makry Gialos, Greece",earthquake,8.2,2,0.093,32,reviewed,us,us
2016-06-05T00:39:32.400Z,18.4838,-64.7752,83,3,Md,15,284.4,0.15091697,0.11,pr,pr16157000,2016-06-05T01:24:58.216Z,"18km WNW of Road Town, British Virgin Islands",earthquake,1.3,0.6,0,9,reviewed,pr,pr
2016-06-05T00:33:06.620Z,19.6866,-69.9637,10,4.1,mb,,64,1.217,1.2,us,us2000623n,2016-06-05T00:47:53.809Z,"7km NW of Cabrera, Dominican Republic",earthquake,5.1,1.9,0.151,12,reviewed,us,us
2016-06-04T22:43:27.800Z,17.9468,-67.6765,6,3,Md,12,291.6,0.47341215,0.15,pr,pr16156009,2016-06-04T23:12:18.428Z,"52km W of Pole Ojea, Puerto Rico",earthquake,0.9,1,0,8,reviewed,pr,pr
2016-06-04T21:59:16.200Z,-18.2652,168.2025,35,5.2,mb,,72,3.203,1.31,us,us2000623b,2016-06-04T22:18:06.514Z,"60km SSW of Port-Vila, Vanuatu",earthquake,8,1.9,0.062,85,reviewed,us,us
2016-06-04T21:48:15.200Z,19.003,-65.1483,25,2.7,Md,5,288,0.67373646,0.33,pr,pr16156013,2016-06-05T01:02:42.352Z,"76km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.5,25.4,0,4,reviewed,pr,pr
2016-06-04T21:44:40.530Z,2.0146,126.6896,26.09,4.4,mb,,116,1.407,0.73,us,us20006239,2016-06-04T22:33:57.214Z,"150km WNW of Tobelo, Indonesia",earthquake,8.2,5.3,0.086,39,reviewed,us,us
2016-06-04T21:20:09.000Z,58.4036,-155.5067,168,2.6,ml,,,,0.76,ak,ak13632187,2016-06-04T21:57:56.153Z,"74km ESE of King Salmon, Alaska",earthquake,1.5,0.8,,,automatic,ak,ak
2016-06-04T21:19:55.900Z,18.9895,-65.164,24,2.8,Md,8,273.6,0.66475331,0.27,pr,pr16156008,2016-06-04T23:33:57.040Z,"75km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.8,20.1,0,6,reviewed,pr,pr
2016-06-04T19:53:15.800Z,19.27,-64.6389,25,2.6,Md,5,320.4,0.94143442,0.18,pr,pr16156012,2016-06-05T02:12:35.538Z,"94km N of Road Town, British Virgin Islands",earthquake,1.6,17.1,0,4,reviewed,pr,pr
2016-06-04T19:05:24.000Z,18.3556,-68.2301,96,2.9,Md,7,334.8,0.71326234,0.25,pr,pr16156010,2016-06-05T00:11:48.086Z,"31km SE of Punta Cana, Dominican Republic",earthquake,3.4,1.9,0,7,reviewed,pr,pr
2016-06-04T17:45:06.800Z,18.7229,-64.1365,28,2.7,Md,4,345.6,0.7168556,0.12,pr,pr16156006,2016-06-04T19:54:56.435Z,"60km NE of Road Town, British Virgin Islands",earthquake,4.2,9.6,0,2,reviewed,pr,pr
2016-06-04T16:38:26.290Z,38.1557,20.3196,16.3,4.9,mb,,92,1.604,1.19,us,us20006226,2016-06-04T17:10:55.278Z,"11km WSW of Lixourion, Greece",earthquake,6.3,4.6,0.064,77,reviewed,us,us
2016-06-04T15:18:21.810Z,-5.2452,97.8291,10,4.7,mb,,205,5.183,0.63,us,us20006225,2016-06-04T15:42:11.640Z,"Southwest of Sumatra, Indonesia",earthquake,5.1,2,0.13,18,reviewed,us,us
2016-06-04T13:04:18.680Z,37.2228317,-122.1464996,11.62,3.35,mw,75,145,0.09575,0.14,nc,nc72645676,2016-06-04T22:16:08.042Z,"10km NNW of Boulder Creek, California",earthquake,0.26,0.51,,4,reviewed,nc,nc
2016-06-04T10:44:10.640Z,0.4538,126.3871,21.12,5.4,mb,,26,1.029,1.21,us,us20006211,2016-06-04T20:34:38.000Z,"114km WSW of Kota Ternate, Indonesia",earthquake,6.7,4.7,0.042,190,reviewed,us,us
2016-06-04T09:54:15.440Z,29.986,57.6163,10,4.3,mb,,141,5.175,0.51,us,us2000620x,2016-06-04T10:46:58.673Z,"61km ESE of Kerman, Iran",earthquake,8.3,1.9,0.114,22,reviewed,us,us
2016-06-04T09:18:40.210Z,-15.5415,-173.1225,32.67,5.4,mb,,43,2.08,0.65,us,us2000620t,2016-06-04T11:23:41.216Z,"81km NE of Hihifo, Tonga",earthquake,9.2,3.7,0.029,408,reviewed,us,us
2016-06-04T06:31:36.810Z,-20.6877,-177.7549,470.7,4.6,mb,,80,4.925,1.16,us,us2000620e,2016-06-04T06:56:20.581Z,"98km E of Ndoi Island, Fiji",earthquake,8.3,7.5,0.075,53,reviewed,us,us
